ID,Statement
P124,There was someone with orange skin acting suspicious.
P289,There was a person that looks to be 20 years old acting suspicious.
P177,I saw someone with indigo eyes acting suspicious.
P057,There was a person that looks to be 20 years old acting suspicious.
P161,There was a person that looks to be 24 years old acting suspicious.
P292,I saw someone who looked 162 cm tall acting suspicious.
P097,There was a person that looks to be 20 years old acting suspicious.
P008,I saw someone who looked 154 cm tall acting suspicious.
P117,There was a person that looks to be 22 years old acting suspicious.
P185,There was someone with green hair acting suspicious.
P030,There was someone with yellow skin acting suspicious.
P126,There was someone with green skin acting suspicious.
P107,There was a person that looks to be 29 years old acting suspicious.
P055,I saw someone who looked 155 cm tall acting suspicious.
P007,There was someone with red skin acting suspicious.
P070,There was a person that looks to be 23 years old acting suspicious.
P237,I saw someone who looked 160 cm tall acting suspicious.
P231,I saw someone with orange eyes acting suspicious.
P115,I saw someone who looked 159 cm tall acting suspicious.
P208,There was a person that looks to be 23 years old acting suspicious.
P020,There was a person that looks to be 22 years old acting suspicious.
P019,There was a person that looks to be 35 years old acting suspicious.
P226,I saw someone who looked 159 cm tall acting suspicious.
P119,There was someone with orange skin acting suspicious.
P072,There was a person that looks to be 23 years old acting suspicious.
P081,I saw someone who looked 156 cm tall acting suspicious.
P063,I saw someone who looked 158 cm tall acting suspicious.
P056,There was a person that looks to be 20 years old acting suspicious.
P045,I saw someone who looked 165 cm tall acting suspicious.
P232,I saw someone with orange eyes acting suspicious.
P159,I saw someone with yellow eyes acting suspicious.
P044,I saw someone who looked 163 cm tall acting suspicious.
P006,I saw someone who looked 150 cm tall acting suspicious.
P165,There was someone with blue hair acting suspicious.
P213,There was someone with yellow skin acting suspicious.
P186,There was someone with red hair acting suspicious.
P291,There was a person that looks to be 21 years old acting suspicious.
P065,There was someone with green hair acting suspicious.
P199,There was someone with violet hair acting suspicious.
P151,There was someone with orange hair acting suspicious.
P069,I saw someone with blue eyes acting suspicious.
P086,There was someone with red skin acting suspicious.
P175,I saw someone who looked 170 cm tall acting suspicious.
P230,I saw someone with yellow eyes acting suspicious.
P248,I saw someone with violet eyes acting suspicious.
P160,There was someone with green skin acting suspicious.
P214,I saw someone with violet eyes acting suspicious.
P062,I saw someone with green eyes acting suspicious.
P252,There was someone with indigo skin acting suspicious.
P009,I saw someone who looked 150 cm tall acting suspicious.
P147,There was someone with green hair acting suspicious.
P135,There was someone with violet hair acting suspicious.
P033,I saw someone who looked 164 cm tall acting suspicious.
P078,There was a person that looks to be 24 years old acting suspicious.
P273,There was someone with indigo hair acting suspicious.
P154,There was someone with indigo skin acting suspicious.
P142,There was someone with green skin acting suspicious.
P281,I saw someone with blue eyes acting suspicious.
P120,There was someone with red skin acting suspicious.
P005,There was someone with yellow hair acting suspicious.
P290,There was someone with indigo hair acting suspicious.
P162,I saw someone with green eyes acting suspicious.
P099,I saw someone with violet eyes acting suspicious.
P015,There was someone with orange hair acting suspicious.
P239,I saw someone who looked 167 cm tall acting suspicious.
P260,I saw someone who looked 153 cm tall acting suspicious.
P067,There was someone with green hair acting suspicious.
P212,There was someone with blue hair acting suspicious.
P268,There was a person that looks to be 21 years old acting suspicious.
P249,I saw someone who looked 155 cm tall acting suspicious.
P108,There was a person that looks to be 21 years old acting suspicious.
P004,I saw someone with yellow eyes acting suspicious.
P225,There was a person that looks to be 24 years old acting suspicious.
P210,There was a person that looks to be 20 years old acting suspicious.
P077,I saw someone with orange eyes acting suspicious.
P168,There was someone with red skin acting suspicious.
P167,I saw someone with green eyes acting suspicious.
P222,I saw someone with orange eyes acting suspicious.
P300,I saw someone with blue eyes acting suspicious.
P216,There was someone with orange skin acting suspicious.
P182,There was someone with green hair acting suspicious.
P275,There was a person that looks to be 24 years old acting suspicious.
P148,I saw someone with violet eyes acting suspicious.
P053,There was someone with orange skin acting suspicious.
P123,There was a person that looks to be 20 years old acting suspicious.
P121,I saw someone with orange eyes acting suspicious.
P238,There was someone with yellow hair acting suspicious.
P145,I saw someone with orange eyes acting suspicious.
P235,There was a person that looks to be 23 years old acting suspicious.
